,ID Number,Season,Grade Level,Gender_x,1500 Meters,Gender_y,400 Meters
0,63,2002 Outdoor  Season                     ,9th Grade,M,278.0,M,57.84
1,63,2003 Outdoor  Season                     ,10th Grade,M,275.7,M,56.74
2,63,2004 Outdoor Season                     ,11th Grade,M,260.18,M,54.1
3,63,2005 Outdoor Season                     ,12th Grade,M,261.68,M,52.8
4,74,1996 Outdoor  Season                     ,9th Grade,M,267.8,M,56.6
5,74,1997 Outdoor  Season                     ,10th Grade,M,259.1,M,54.0
6,74,1998 Outdoor  Season                     ,11th Grade,M,260.0,M,55.7
7,108,1996 Outdoor  Season                     ,9th Grade,M,348.5,M,69.24
8,121,2004 Outdoor Season                     ,9th Grade,M,345.0,M,70.3
9,125,2003 Outdoor  Season                     ,9th Grade,M,280.6,M,63.0
10,125,2004 Outdoor Season                     ,10th Grade,M,272.5,M,60.6
11,125,2005 Outdoor Season                     ,11th Grade,M,277.9,M,53.3
12,125,2006 Outdoor Season                     ,12th Grade,M,280.0,M,52.55
13,327,1997 Outdoor  Season                     ,9th Grade,M,306.0,M,58.4
14,327,1998 Outdoor  Season                     ,10th Grade,M,269.0,M,58.54
15,340,1996 Outdoor  Season                     ,11th Grade,M,246.6,M,54.3
17,357,1996 Outdoor  Season                     ,10th Grade,M,291.6,M,58.6
18,357,1997 Outdoor  Season                     ,11th Grade,M,283.0,M,55.4
19,382,1997 Outdoor  Season                     ,11th Grade,M,288.2,M,58.4
20,455,2006 Outdoor Season                     ,9th Grade,M,323.3,M,61.4
21,455,2007 Outdoor Season                     ,10th Grade,M,340.1,M,56.4
22,533,2005 Outdoor Season                     ,11th Grade,M,233.77,M,52.5
23,533,2006 Outdoor Season                     ,12th Grade,M,229.99,M,51.3
24,534,2004 Outdoor Season                     ,12th Grade,M,236.9,M,53.9
25,535,2005 Outdoor Season                     ,10th Grade,M,249.8,M,52.5
26,535,2006 Outdoor Season                     ,11th Grade,M,247.76,M,52.5
27,538,2005 Outdoor Season                     ,11th Grade,M,263.4,M,53.54
28,538,2006 Outdoor Season                     ,12th Grade,M,257.12,M,51.6
29,540,2005 Outdoor Season                     ,10th Grade,M,267.34,M,57.6
30,540,2006 Outdoor Season                     ,11th Grade,M,257.27,M,54.5
31,540,2007 Outdoor Season                     ,12th Grade,M,261.2,M,53.1
32,541,2005 Outdoor Season                     ,12th Grade,M,255.6,M,59.9
33,542,2005 Outdoor Season                     ,12th Grade,M,259.1,M,58.2
34,543,2005 Outdoor Season                     ,10th Grade,M,244.27,M,53.2
35,543,2006 Outdoor Season                     ,11th Grade,M,258.5,M,53.4
36,544,2004 Outdoor Season                     ,11th Grade,M,294.9,M,61.0
37,544,2005 Outdoor Season                     ,12th Grade,M,310.5,M,59.0
38,560,2004 Outdoor Season                     ,12th Grade,M,262.7,M,56.9
39,566,2005 Outdoor Season                     ,10th Grade,M,284.93,M,69.5
40,566,2006 Outdoor Season                     ,11th Grade,M,263.8,M,64.4
41,609,2005 Outdoor Season                     ,11th Grade,M,270.54,M,58.9
42,609,2006 Outdoor Season                     ,12th Grade,M,264.83,M,53.5
43,625,2004 Outdoor Season                     ,11th Grade,M,268.53,M,56.3
44,651,2005 Outdoor Season                     ,10th Grade,M,281.2,M,58.84
45,651,2007 Outdoor Season                     ,12th Grade,M,271.8,M,60.34
46,652,2007 Outdoor Season                     ,12th Grade,M,263.88,M,59.25
47,656,2006 Outdoor Season                     ,11th Grade,M,279.4,M,54.94
48,657,2004 Outdoor Season                     ,11th Grade,M,274.7,M,58.14
49,657,2005 Outdoor Season                     ,12th Grade,M,276.79,M,56.04
50,687,2004 Outdoor Season                     ,12th Grade,M,297.0,M,50.74
51,690,2004 Outdoor Season                     ,12th Grade,M,295.5,M,57.24
52,691,2004 Outdoor Season                     ,10th Grade,M,330.8,M,60.6
53,694,2009 Outdoor Season                     ,12th Grade,M,283.2,M,64.09
54,718,2006 Outdoor Season                     ,11th Grade,M,292.1,M,60.44
55,721,2004 Outdoor Season                     ,12th Grade,M,236.36,M,52.96
56,725,2005 Outdoor Season                     ,12th Grade,M,254.05,M,51.35
57,739,2004 Outdoor Season                     ,10th Grade,M,284.81,M,58.15
58,759,2004 Outdoor Season                     ,10th Grade,M,294.4,M,58.06
59,759,2006 Outdoor Season                     ,12th Grade,M,283.57,M,55.34
60,803,2004 Outdoor Season                     ,10th Grade,M,289.0,M,48.48
61,832,2003 Outdoor  Season                     ,9th Grade,M,298.4,M,64.5
62,832,2005 Outdoor Season                     ,11th Grade,M,258.7,M,55.74
63,836,2004 Outdoor Season                     ,12th Grade,M,253.9,M,52.54
64,839,2006 Outdoor Season                     ,12th Grade,M,252.03,M,55.04
65,877,2004 Outdoor Season                     ,12th Grade,M,238.91,M,52.24
66,878,2004 Outdoor Season                     ,12th Grade,M,272.0,M,55.04
