ID Number,Gender,Grade Level,Season,800 Meters
21,M,12th Grade,2007 Outdoor Season                     ,134.2
21,M,12th Grade,2007 Outdoor Season                     ,129.5
21,M,12th Grade,2007 Outdoor Season                     ,130.14
21,M,12th Grade,2007 Outdoor Season                     ,127.35
21,M,11th Grade,2006 Outdoor Season                     ,140.8
21,M,11th Grade,2006 Outdoor Season                     ,138.3
21,M,11th Grade,2006 Outdoor Season                     ,133.5
21,M,10th Grade,2005 Outdoor Season                     ,137.1
21,M,10th Grade,2005 Outdoor Season                     ,135.0
21,M,9th Grade,2004 Outdoor Season                     ,133.3
21,M,9th Grade,2004 Outdoor Season                     ,133.01
21,M,9th Grade,2004 Outdoor Season                     ,132.6
21,M,9th Grade,2004 Outdoor Season                     ,137.41
63,M,12th Grade,2005 Outdoor Season                     ,142.0
63,M,12th Grade,2005 Outdoor Season                     ,129.5
63,M,12th Grade,2005 Outdoor Season                     ,126.5
63,M,12th Grade,2005 Outdoor Season                     ,125.8
63,M,12th Grade,2005 Outdoor Season                     ,134.9
63,M,12th Grade,2005 Outdoor Season                     ,121.89
63,M,12th Grade,2005 Outdoor Season                     ,121.71
63,M,12th Grade,2005 Outdoor Season                     ,125.84
63,M,12th Grade,2005 Outdoor Season                     ,120.28
63,M,11th Grade,2004 Outdoor Season                     ,124.34
63,M,11th Grade,2004 Outdoor Season                     ,128.5
63,M,11th Grade,2004 Outdoor Season                     ,124.6
63,M,11th Grade,2004 Outdoor Season                     ,125.0
63,M,11th Grade,2004 Outdoor Season                     ,122.94
63,M,11th Grade,2004 Outdoor Season                     ,121.07
63,M,11th Grade,2004 Outdoor Season                     ,123.3
63,M,11th Grade,2004 Outdoor Season                     ,124.46
63,M,11th Grade,2004 Outdoor Season                     ,126.05
63,M,10th Grade,2003 Outdoor  Season                     ,126.53
63,M,10th Grade,2003 Outdoor  Season                     ,126.53
63,M,9th Grade,2002 Outdoor  Season                     ,128.9
74,M,11th Grade,1998 Outdoor  Season                     ,127.3
74,M,10th Grade,1997 Outdoor  Season                     ,124.5
74,M,9th Grade,1996 Outdoor  Season                     ,128.5
121,M,9th Grade,2004 Outdoor Season                     ,163.17
125,M,12th Grade,2006 Outdoor Season                     ,126.19
125,M,12th Grade,2006 Outdoor Season                     ,128.8
125,M,11th Grade,2005 Outdoor Season                     ,126.01
125,M,11th Grade,2005 Outdoor Season                     ,125.02
125,M,10th Grade,2004 Outdoor Season                     ,139.9
125,M,10th Grade,2004 Outdoor Season                     ,133.7
125,M,9th Grade,2003 Outdoor  Season                     ,142.5
129,M,10th Grade,2002 Outdoor  Season                     ,137.8
144,M,11th Grade,2002 Outdoor  Season                     ,155.7
189,M,12th Grade,2008 Outdoor Season                     ,128.8
189,M,12th Grade,2008 Outdoor Season                     ,134.7
189,M,12th Grade,2008 Outdoor Season                     ,124.3
189,M,12th Grade,2008 Outdoor Season                     ,132.14
189,M,12th Grade,2008 Outdoor Season                     ,133.0
189,M,12th Grade,2008 Outdoor Season                     ,135.82
189,M,12th Grade,2008 Outdoor Season                     ,132.74
189,M,11th Grade,2007 Outdoor Season                     ,129.8
189,M,10th Grade,2006 Outdoor Season                     ,141.12
189,M,10th Grade,2006 Outdoor Season                     ,138.1
189,M,9th Grade,2005 Outdoor Season                     ,148.9
189,M,9th Grade,2005 Outdoor Season                     ,147.0
201,M,10th Grade,2000 Outdoor  Season                     ,151.3
201,M,9th Grade,1999 Outdoor  Season                     ,151.3
327,M,10th Grade,1998 Outdoor  Season                     ,132.0
340,M,12th Grade,1997 Outdoor  Season                     ,123.3
357,M,12th Grade,1998 Outdoor  Season                     ,127.7
357,M,11th Grade,1997 Outdoor  Season                     ,130.8
357,M,10th Grade,1996 Outdoor  Season                     ,139.2
357,M,9th Grade,1995 Outdoor  Season                     ,167.0
363,M,11th Grade,1995 Outdoor  Season                     ,134.9
382,M,11th Grade,1997 Outdoor  Season                     ,140.5
409,M,10th Grade,2003 Outdoor  Season                     ,141.0
409,M,9th Grade,2002 Outdoor  Season                     ,136.4
409,M,9th Grade,2002 Outdoor  Season                     ,136.4
415,M,11th Grade,2002 Outdoor  Season                     ,142.1
424,M,11th Grade,2000 Outdoor  Season                     ,147.0
425,M,12th Grade,2000 Outdoor  Season                     ,167.0
435,M,9th Grade,2001 Outdoor  Season                     ,125.0
455,M,12th Grade,2009 Outdoor Season                     ,134.82
455,M,10th Grade,2007 Outdoor Season                     ,148.35
455,M,10th Grade,2007 Outdoor Season                     ,146.9
455,M,10th Grade,2007 Outdoor Season                     ,144.4
455,M,9th Grade,2006 Outdoor Season                     ,149.46
455,M,9th Grade,2006 Outdoor Season                     ,151.86
529,M,10th Grade,2004 Outdoor Season                     ,169.55
531,M,11th Grade,2004 Outdoor Season                     ,124.64
533,M,12th Grade,2006 Outdoor Season                     ,123.1
533,M,12th Grade,2006 Outdoor Season                     ,117.0
533,M,12th Grade,2006 Outdoor Season                     ,122.87
533,M,12th Grade,2006 Outdoor Season                     ,113.17
533,M,12th Grade,2006 Outdoor Season                     ,112.8
533,M,11th Grade,2005 Outdoor Season                     ,118.5
533,M,11th Grade,2005 Outdoor Season                     ,114.39
533,M,10th Grade,2004 Outdoor Season                     ,124.7
533,M,10th Grade,2004 Outdoor Season                     ,124.32
533,M,10th Grade,2004 Outdoor Season                     ,126.01
534,M,12th Grade,2004 Outdoor Season                     ,123.4
534,M,12th Grade,2004 Outdoor Season                     ,127.8
534,M,12th Grade,2004 Outdoor Season                     ,121.49
535,M,12th Grade,2007 Outdoor Season                     ,123.1
535,M,12th Grade,2007 Outdoor Season                     ,121.18
535,M,12th Grade,2007 Outdoor Season                     ,118.96
535,M,12th Grade,2007 Outdoor Season                     ,121.18
535,M,12th Grade,2007 Outdoor Season                     ,117.38
535,M,12th Grade,2007 Outdoor Season                     ,121.9
535,M,12th Grade,2007 Outdoor Season                     ,119.3
535,M,12th Grade,2007 Outdoor Season                     ,118.8
535,M,12th Grade,2007 Indoor Season                     ,123.0
535,M,12th Grade,2007 Indoor Season                     ,123.0
535,M,11th Grade,2006 Outdoor Season                     ,123.5
535,M,11th Grade,2006 Outdoor Season                     ,119.4
535,M,11th Grade,2006 Outdoor Season                     ,122.5
535,M,11th Grade,2006 Outdoor Season                     ,118.8
535,M,11th Grade,2006 Outdoor Season                     ,121.13
535,M,11th Grade,2006 Outdoor Season                     ,121.5
535,M,11th Grade,2006 Outdoor Season                     ,116.0
535,M,11th Grade,2006 Outdoor Season                     ,116.0
535,M,11th Grade,2006 Outdoor Season                     ,116.3
535,M,11th Grade,2006 Outdoor Season                     ,115.3
535,M,11th Grade,2006 Indoor Season                     ,122.1
535,M,10th Grade,2005 Outdoor Season                     ,122.84
535,M,10th Grade,2005 Outdoor Season                     ,119.1
535,M,10th Grade,2005 Outdoor Season                     ,121.3
535,M,10th Grade,2005 Outdoor Season                     ,116.9
535,M,10th Grade,2005 Outdoor Season                     ,120.5
535,M,10th Grade,2005 Outdoor Season                     ,122.21
535,M,10th Grade,2005 Outdoor Season                     ,116.5
535,M,9th Grade,2004 Outdoor Season                     ,123.67
535,M,9th Grade,2004 Outdoor Season                     ,120.4
537,M,12th Grade,2004 Outdoor Season                     ,129.0
538,M,12th Grade,2006 Outdoor Season                     ,125.32
538,M,12th Grade,2006 Outdoor Season                     ,121.51
538,M,12th Grade,2006 Outdoor Season                     ,120.6
538,M,12th Grade,2006 Outdoor Season                     ,124.94
538,M,12th Grade,2006 Outdoor Season                     ,122.4
538,M,12th Grade,2006 Outdoor Season                     ,121.51
