,ID Number,Season,Grade Level,Gender_x,800 Meters,Gender_y,400 Meters
0,21,2004 Outdoor Season                     ,9th Grade,M,132.6,M,56.1
1,21,2005 Outdoor Season                     ,10th Grade,M,135.0,M,53.7
2,21,2006 Outdoor Season                     ,11th Grade,M,133.5,M,54.04
3,21,2007 Outdoor Season                     ,12th Grade,M,127.35,M,54.4
4,63,2002 Outdoor  Season                     ,9th Grade,M,128.9,M,57.84
5,63,2003 Outdoor  Season                     ,10th Grade,M,126.53,M,56.74
6,63,2004 Outdoor Season                     ,11th Grade,M,121.07,M,54.1
7,63,2005 Outdoor Season                     ,12th Grade,M,120.28,M,52.8
8,74,1996 Outdoor  Season                     ,9th Grade,M,128.5,M,56.6
9,74,1997 Outdoor  Season                     ,10th Grade,M,124.5,M,54.0
10,74,1998 Outdoor  Season                     ,11th Grade,M,127.3,M,55.7
11,121,2004 Outdoor Season                     ,9th Grade,M,163.17,M,70.3
12,125,2003 Outdoor  Season                     ,9th Grade,M,142.5,M,63.0
13,125,2004 Outdoor Season                     ,10th Grade,M,133.7,M,60.6
14,125,2005 Outdoor Season                     ,11th Grade,M,125.02,M,53.3
15,125,2006 Outdoor Season                     ,12th Grade,M,126.19,M,52.55
16,189,2005 Outdoor Season                     ,9th Grade,M,147.0,M,56.1
17,189,2006 Outdoor Season                     ,10th Grade,M,138.1,M,53.94
18,189,2007 Outdoor Season                     ,11th Grade,M,129.8,M,53.0
19,189,2008 Outdoor Season                     ,12th Grade,M,124.3,M,51.97
20,327,1998 Outdoor  Season                     ,10th Grade,M,132.0,M,58.54
21,357,1996 Outdoor  Season                     ,10th Grade,M,139.2,M,58.6
22,357,1997 Outdoor  Season                     ,11th Grade,M,130.8,M,55.4
23,357,1998 Outdoor  Season                     ,12th Grade,M,127.7,M,55.8
24,363,1995 Outdoor  Season                     ,11th Grade,M,134.9,M,54.24
25,382,1997 Outdoor  Season                     ,11th Grade,M,140.5,M,58.4
26,409,2003 Outdoor  Season                     ,10th Grade,M,141.0,M,58.0
27,415,2002 Outdoor  Season                     ,11th Grade,M,142.1,M,59.94
28,424,2000 Outdoor  Season                     ,11th Grade,M,147.0,M,58.24
29,435,2001 Outdoor  Season                     ,9th Grade,M,125.0,M,52.24
30,455,2006 Outdoor Season                     ,9th Grade,M,149.46,M,61.4
31,455,2007 Outdoor Season                     ,10th Grade,M,144.4,M,56.4
32,455,2009 Outdoor Season                     ,12th Grade,M,134.82,M,53.4
33,531,2004 Outdoor Season                     ,11th Grade,M,124.64,M,52.2
34,533,2005 Outdoor Season                     ,11th Grade,M,114.39,M,52.5
35,533,2006 Outdoor Season                     ,12th Grade,M,112.8,M,51.3
36,534,2004 Outdoor Season                     ,12th Grade,M,121.49,M,53.9
