,ID Number,Gender,Grade Level,Season,400 Meters,800 Meters,1500 Meters,1600 Meters
0,21,M,12th Grade,2007 Outdoor Season                     ,57.74,,,
1,21,M,12th Grade,2007 Outdoor Season                     ,57.34c,,,
2,21,M,12th Grade,2007 Outdoor Season                     ,56.14c,,,
3,21,M,12th Grade,2007 Outdoor Season                     ,57.2h,,,
4,21,M,12th Grade,2007 Outdoor Season                     ,58.8h,,,
5,21,M,12th Grade,2007 Outdoor Season                     ,57.1h,,,
6,21,M,12th Grade,2007 Outdoor Season                     ,58.8h,,,
7,21,M,12th Grade,2007 Outdoor Season                     ,56.0h,,,
8,21,M,12th Grade,2007 Outdoor Season                     ,56.9h,,,
9,21,M,12th Grade,2007 Outdoor Season                     ,58.9h,,,
10,21,M,12th Grade,2007 Outdoor Season                     ,54.4h,,,
11,21,M,12th Grade,2007 Outdoor Season                     ,55.8h,,,
12,21,M,12th Grade,2007 Outdoor Season                     ,,2:14.2h,,
13,21,M,12th Grade,2007 Outdoor Season                     ,,DNS,,
14,21,M,12th Grade,2007 Outdoor Season                     ,,2:09.5h,,
15,21,M,12th Grade,2007 Outdoor Season                     ,,2:10.14,,
16,21,M,12th Grade,2007 Outdoor Season                     ,,2:07.35,,
17,21,M,11th Grade,2006 Outdoor Season                     ,58.25,,,
18,21,M,11th Grade,2006 Outdoor Season                     ,57.84c,,,
19,21,M,11th Grade,2006 Outdoor Season                     ,56.74,,,
20,21,M,11th Grade,2006 Outdoor Season                     ,56.51,,,
21,21,M,11th Grade,2006 Outdoor Season                     ,56.54c,,,
22,21,M,11th Grade,2006 Outdoor Season                     ,54.04c,,,
23,21,M,11th Grade,2006 Outdoor Season                     ,57.5h,,,
24,21,M,11th Grade,2006 Outdoor Season                     ,57.1h,,,
25,21,M,11th Grade,2006 Outdoor Season                     ,58.7h,,,
26,21,M,11th Grade,2006 Outdoor Season                     ,56.0h,,,
27,21,M,11th Grade,2006 Outdoor Season                     ,57.2h,,,
28,21,M,11th Grade,2006 Outdoor Season                     ,56.6h,,,
29,21,M,11th Grade,2006 Outdoor Season                     ,55.10,,,
30,21,M,11th Grade,2006 Outdoor Season                     ,54.2h,,,
31,21,M,11th Grade,2006 Outdoor Season                     ,,2:20.8h,,
