ID Number,Gender,Grade Level,Season,400 Meters
21,M,12th Grade,2007 Outdoor Season                     ,57.74
21,M,12th Grade,2007 Outdoor Season                     ,57.34
21,M,12th Grade,2007 Outdoor Season                     ,56.14
21,M,12th Grade,2007 Outdoor Season                     ,57.2
21,M,12th Grade,2007 Outdoor Season                     ,58.8
21,M,12th Grade,2007 Outdoor Season                     ,57.1
21,M,12th Grade,2007 Outdoor Season                     ,58.8
21,M,12th Grade,2007 Outdoor Season                     ,56.0
21,M,12th Grade,2007 Outdoor Season                     ,56.9
21,M,12th Grade,2007 Outdoor Season                     ,58.9
21,M,12th Grade,2007 Outdoor Season                     ,54.4
21,M,12th Grade,2007 Outdoor Season                     ,55.8
21,M,11th Grade,2006 Outdoor Season                     ,58.25
21,M,11th Grade,2006 Outdoor Season                     ,57.84
21,M,11th Grade,2006 Outdoor Season                     ,56.74
21,M,11th Grade,2006 Outdoor Season                     ,56.51
21,M,11th Grade,2006 Outdoor Season                     ,56.54
21,M,11th Grade,2006 Outdoor Season                     ,54.04
21,M,11th Grade,2006 Outdoor Season                     ,57.5
21,M,11th Grade,2006 Outdoor Season                     ,57.1
21,M,11th Grade,2006 Outdoor Season                     ,58.7
21,M,11th Grade,2006 Outdoor Season                     ,56.0
21,M,11th Grade,2006 Outdoor Season                     ,57.2
21,M,11th Grade,2006 Outdoor Season                     ,56.6
21,M,11th Grade,2006 Outdoor Season                     ,55.1
21,M,11th Grade,2006 Outdoor Season                     ,54.2
21,M,10th Grade,2005 Outdoor Season                     ,55.94
21,M,10th Grade,2005 Outdoor Season                     ,55.64
21,M,10th Grade,2005 Outdoor Season                     ,56.84
21,M,10th Grade,2005 Outdoor Season                     ,55.09
21,M,10th Grade,2005 Outdoor Season                     ,55.2
21,M,10th Grade,2005 Outdoor Season                     ,55.42
21,M,10th Grade,2005 Outdoor Season                     ,56.4
21,M,10th Grade,2005 Outdoor Season                     ,56.6
21,M,10th Grade,2005 Outdoor Season                     ,54.8
21,M,10th Grade,2005 Outdoor Season                     ,53.7
21,M,9th Grade,2004 Outdoor Season                     ,57.74
21,M,9th Grade,2004 Outdoor Season                     ,58.34
21,M,9th Grade,2004 Outdoor Season                     ,60.1
21,M,9th Grade,2004 Outdoor Season                     ,57.8
21,M,9th Grade,2004 Outdoor Season                     ,58.6
21,M,9th Grade,2004 Outdoor Season                     ,59.0
21,M,9th Grade,2004 Outdoor Season                     ,57.0
21,M,9th Grade,2004 Outdoor Season                     ,56.1
63,M,12th Grade,2005 Outdoor Season                     ,54.94
63,M,12th Grade,2005 Outdoor Season                     ,55.0
63,M,12th Grade,2005 Outdoor Season                     ,55.7
63,M,12th Grade,2005 Outdoor Season                     ,54.3
63,M,12th Grade,2005 Outdoor Season                     ,52.8
63,M,11th Grade,2004 Outdoor Season                     ,56.14
63,M,11th Grade,2004 Outdoor Season                     ,55.7
63,M,11th Grade,2004 Outdoor Season                     ,54.6
63,M,11th Grade,2004 Outdoor Season                     ,54.1
63,M,11th Grade,2004 Outdoor Season                     ,54.3
63,M,11th Grade,2004 Outdoor Season                     ,58.2
63,M,11th Grade,2004 Outdoor Season                     ,56.7
63,M,10th Grade,2003 Outdoor  Season                     ,56.74
63,M,9th Grade,2002 Outdoor  Season                     ,57.84
74,M,11th Grade,1998 Outdoor  Season                     ,55.7
74,M,10th Grade,1997 Outdoor  Season                     ,54.0
74,M,9th Grade,1996 Outdoor  Season                     ,56.6
108,M,11th Grade,1998 Outdoor  Season                     ,64.14
108,M,9th Grade,1997 Outdoor  Season                     ,62.04
108,M,9th Grade,1996 Outdoor  Season                     ,69.24
119,M,11th Grade,1998 Outdoor  Season                     ,69.54
121,M,12th Grade,2007 Outdoor Season                     ,60.1
121,M,9th Grade,2004 Outdoor Season                     ,70.3
121,M,9th Grade,2004 Outdoor Season                     ,71.2
122,M,11th Grade,2005 Outdoor Season                     ,58.26
122,M,11th Grade,2005 Outdoor Season                     ,58.34
122,M,11th Grade,2005 Outdoor Season                     ,56.94
122,M,11th Grade,2005 Outdoor Season                     ,60.54
122,M,11th Grade,2005 Outdoor Season                     ,61.34
122,M,11th Grade,2005 Outdoor Season                     ,59.6
125,M,12th Grade,2006 Outdoor Season                     ,53.64
125,M,12th Grade,2006 Outdoor Season                     ,52.55
125,M,12th Grade,2006 Outdoor Season                     ,53.6
125,M,12th Grade,2006 Outdoor Season                     ,54.2
125,M,12th Grade,2006 Outdoor Season                     ,55.4
125,M,12th Grade,2006 Outdoor Season                     ,54.4
125,M,11th Grade,2005 Outdoor Season                     ,54.54
125,M,11th Grade,2005 Outdoor Season                     ,57.7
125,M,11th Grade,2005 Outdoor Season                     ,59.8
125,M,11th Grade,2005 Outdoor Season                     ,57.4
125,M,11th Grade,2005 Outdoor Season                     ,53.3
125,M,10th Grade,2004 Outdoor Season                     ,61.7
125,M,10th Grade,2004 Outdoor Season                     ,60.6
125,M,9th Grade,2003 Outdoor  Season                     ,63.0
128,M,10th Grade,2001 Outdoor  Season                     ,59.84
130,M,10th Grade,2003 Outdoor  Season                     ,57.84
134,M,9th Grade,1998 Outdoor  Season                     ,56.1
144,M,12th Grade,2003 Outdoor  Season                     ,60.24
161,M,11th Grade,2004 Outdoor Season                     ,59.7
161,M,11th Grade,2004 Outdoor Season                     ,56.3
161,M,11th Grade,2004 Outdoor Season                     ,57.6
161,M,9th Grade,2002 Outdoor  Season                     ,66.74
185,M,9th Grade,2003 Outdoor  Season                     ,69.4
189,M,12th Grade,2008 Outdoor Season                     ,54.91
189,M,12th Grade,2008 Outdoor Season                     ,55.34
189,M,12th Grade,2008 Outdoor Season                     ,53.0
189,M,12th Grade,2008 Outdoor Season                     ,55.77
189,M,12th Grade,2008 Outdoor Season                     ,53.0
189,M,12th Grade,2008 Outdoor Season                     ,51.97
189,M,12th Grade,2008 Outdoor Season                     ,54.13
189,M,12th Grade,2008 Outdoor Season                     ,53.21
189,M,12th Grade,2008 Outdoor Season                     ,56.5
189,M,12th Grade,2008 Outdoor Season                     ,55.1
189,M,12th Grade,2008 Outdoor Season                     ,54.4
189,M,12th Grade,2008 Outdoor Season                     ,55.8
189,M,12th Grade,2008 Outdoor Season                     ,55.0
189,M,12th Grade,2008 Outdoor Season                     ,52.7
189,M,12th Grade,2008 Outdoor Season                     ,54.7
189,M,11th Grade,2007 Outdoor Season                     ,55.54
189,M,11th Grade,2007 Outdoor Season                     ,54.04
189,M,11th Grade,2007 Outdoor Season                     ,54.76
189,M,11th Grade,2007 Outdoor Season                     ,54.18
189,M,11th Grade,2007 Outdoor Season                     ,54.06
189,M,11th Grade,2007 Outdoor Season                     ,54.9
189,M,11th Grade,2007 Outdoor Season                     ,57.1
189,M,11th Grade,2007 Outdoor Season                     ,57.6
189,M,11th Grade,2007 Outdoor Season                     ,57.6
189,M,11th Grade,2007 Outdoor Season                     ,53.0
189,M,11th Grade,2007 Outdoor Season                     ,54.3
189,M,10th Grade,2006 Outdoor Season                     ,55.76
189,M,10th Grade,2006 Outdoor Season                     ,56.44
189,M,10th Grade,2006 Outdoor Season                     ,55.58
189,M,10th Grade,2006 Outdoor Season                     ,55.44
189,M,10th Grade,2006 Outdoor Season                     ,53.94
189,M,10th Grade,2006 Outdoor Season                     ,57.6
189,M,10th Grade,2006 Outdoor Season                     ,58.8
189,M,10th Grade,2006 Outdoor Season                     ,57.6
189,M,10th Grade,2006 Outdoor Season                     ,56.0
189,M,10th Grade,2006 Outdoor Season                     ,56.8
189,M,10th Grade,2006 Outdoor Season                     ,55.8
189,M,10th Grade,2006 Outdoor Season                     ,55.1
189,M,9th Grade,2005 Outdoor Season                     ,58.94
189,M,9th Grade,2005 Outdoor Season                     ,58.54
189,M,9th Grade,2005 Outdoor Season                     ,58.34
189,M,9th Grade,2005 Outdoor Season                     ,56.93
189,M,9th Grade,2005 Outdoor Season                     ,56.84
189,M,9th Grade,2005 Outdoor Season                     ,56.1
189,M,9th Grade,2005 Outdoor Season                     ,61.2
189,M,9th Grade,2005 Outdoor Season                     ,60.2
